gene,outcome,coloc_source,PP_H4,cond_H4,nsnp,status
SOST,CAD,UKB-PPP,0.007,0.479,476,ok
SOST,HF,UKB-PPP,0.004,0.033,456,ok
SOST,AF,UKB-PPP,0.006,0.139,860,ok
SOST,CAC,UKB-PPP,0.012,0.385,510,ok
SOST,AIS,UKB-PPP,0.034,0.832,449,ok
SOST,CES,UKB-PPP,0.014,0.664,417,ok
SOST,LAS,UKB-PPP,0.226,0.936,383,ok
SOST,SVS,UKB-PPP,0.013,0.509,387,ok
SOST,FG_CHD,UKB-PPP,0.022,0.283,771,ok
SOST,FG_HF,UKB-PPP,0.005,0.137,771,ok
SOST,FG_AF,UKB-PPP,0.006,0.13,771,ok
SOST,FG_stroke,UKB-PPP,0.007,0.19,771,ok
TNFRSF11B,CAD,UKB-PPP,0.007,0.345,899,ok
TNFRSF11B,HF,UKB-PPP,0.01,0.377,869,ok
TNFRSF11B,AF,UKB-PPP,0.018,0.323,1224,ok
TNFRSF11B,CAC,UKB-PPP,0.012,0.241,954,ok
TNFRSF11B,AIS,UKB-PPP,0.004,0.252,832,ok
TNFRSF11B,CES,UKB-PPP,0.008,0.133,793,ok
TNFRSF11B,LAS,UKB-PPP,0.01,0.184,442,ok
TNFRSF11B,SVS,UKB-PPP,0.011,0.468,460,ok
TNFRSF11B,FG_CHD,UKB-PPP,0.003,0.094,1140,ok
TNFRSF11B,FG_HF,UKB-PPP,0.008,0.183,1140,ok
TNFRSF11B,FG_AF,UKB-PPP,0.012,0.026,1140,ok
TNFRSF11B,FG_stroke,UKB-PPP,0.004,0.039,1140,ok
TNFSF11,CAD,UKB-PPP,0.005,0.241,625,ok
TNFSF11,HF,UKB-PPP,0.004,0.414,535,ok
TNFSF11,AF,UKB-PPP,0.017,0.323,987,ok
TNFSF11,CAC,UKB-PPP,0.011,0.394,602,ok
TNFSF11,AIS,UKB-PPP,0.004,0.36,506,ok
TNFSF11,CES,UKB-PPP,0.021,0.531,447,ok
TNFSF11,LAS,UKB-PPP,0.015,0.635,415,ok
TNFSF11,SVS,UKB-PPP,0.023,0.524,415,ok
TNFSF11,FG_CHD,UKB-PPP,0.004,0.117,865,ok
TNFSF11,FG_HF,UKB-PPP,0.004,0.157,865,ok
TNFSF11,FG_AF,UKB-PPP,0.004,0.126,865,ok
TNFSF11,FG_stroke,UKB-PPP,0.005,0.136,865,ok
TNFRSF11A,CAD,UKB-PPP,0.006,0.31,863,ok
